sonar_raw,sonar_mean,sonar_median,lidar_raw,time
27.8,27.8,27.8,23.6,1606225539.0895944
27.8,27.81,27.8,23.5,1606225542.092797
27.8,27.8,27.8,23.9,1606225545.095513
27.8,27.81,27.8,23.9,1606225548.0983496
27.8,27.8,27.8,23.6,1606225551.1012878
27.8,27.8,27.8,23.7,1606225554.1044655
27.8,27.8,27.8,23.6,1606225557.1073155
27.8,27.8,27.8,24.0,1606225560.1112611
27.8,27.8,27.8,23.9,1606225563.1144528
27.8,27.81,27.8,24.5,1606225566.1165314
27.8,27.78,27.8,24.0,1606225569.1200862
27.8,27.8,27.8,24.0,1606225572.122974
27.8,27.8,27.8,23.8,1606225575.1266878
27.8,27.8,27.8,23.7,1606225578.1285903
27.8,27.8,27.8,24.1,1606225581.1317387
27.8,27.8,27.8,23.8,1606225584.1358216
27.8,27.8,27.8,23.7,1606225587.138695
27.8,27.8,27.8,24.3,1606225590.1411872
27.8,27.8,27.8,23.6,1606225593.1442542
27.8,27.8,27.8,24.1,1606225596.1470504
